match,teamInnings,battingPos,batsmanName,out/not_out,R,B,M,4s,6s,SR,match_id
India vs South Africa,India,1,Rohit Sharma,out,9,5,7,2,0,180.00,T20I # 2729
India vs South Africa,India,2,Virat Kohli,out,76,59,87,6,2,128.81,T20I # 2729
India vs South Africa,India,3,Rishabh Pant,out,0,2,2,0,0,0.00,T20I # 2729
India vs South Africa,India,4,Suryakumar Yadav,out,3,4,9,0,0,75.00,T20I # 2729
India vs South Africa,India,5,Axar Patel,out,47,31,38,1,4,151.61,T20I # 2729
India vs South Africa,India,6,Shivam Dube,out,27,16,32,3,1,168.75,T20I # 2729
India vs South Africa,India,7,Hardik Pandya,not out,5,2,7,1,0,250.00,T20I # 2729
India vs South Africa,India,8,Ravindra Jadeja,out,2,2,1,0,0,100.00,T20I # 2729
India vs South Africa,South Africa,1,Reeza Hendricks,out,4,5,6,1,0,80.00,T20I # 2729
India vs South Africa,South Africa,2,Quinton de Kock,out,39,31,54,4,1,125.80,T20I # 2729
India vs South Africa,South Africa,3,Aiden Markram,out,4,5,4,1,0,80.00,T20I # 2729
India vs South Africa,South Africa,4,Tristan Stubbs,out,31,21,24,3,1,147.61,T20I # 2729
India vs South Africa,South Africa,5,Heinrich Klaasen,out,52,27,33,2,5,192.59,T20I # 2729
India vs South Africa,South Africa,6,David Miller,out,21,17,37,1,1,123.52,T20I # 2729
India vs South Africa,South Africa,7,Marco Jansen,out,2,4,7,0,0,50.00,T20I # 2729
India vs South Africa,South Africa,8,Keshav Maharaj,not out,2,7,18,0,0,28.57,T20I # 2729
India vs South Africa,South Africa,9,Kagiso Rabada,out,4,3,5,1,0,133.33,T20I # 2729
India vs South Africa,South Africa,10,Anrich Nortje,not out,1,1,1,0,0,100.00,T20I # 2729
match,teamInnings,battingPos,batsmanName,out,R,B,M,4s,6s,SR,
Afghanistan vs Australia,Afghanistan,1,Rahmanullah Gurbaz,out,60,49,66,4,4,122.44,T20I # 2717
Afghanistan vs Australia,Afghanistan,2,Ibrahim Zadran,out,51,48,73,6,0,106.25,T20I # 2717
Afghanistan vs Australia,Afghanistan,3,Azmatullah Omarzai,out,2,3,2,0,0,66.66,T20I # 2717
Afghanistan vs Australia,Afghanistan,4,Karim Janat,out,13,9,13,0,1,144.44,T20I # 2717
Afghanistan vs Australia,Afghanistan,5,Rashid Khan,out,2,5,4,0,0,40.00,T20I # 2717
Afghanistan vs Australia,Afghanistan,6,Mohammad Nabi,not out,10,4,10,2,0,250.00,T20I # 2717
Afghanistan vs Australia,Afghanistan,7,Gulbadin Naib,out,0,1,12,0,0,0.00,T20I # 2717
Afghanistan vs Australia,Afghanistan,8,Nangeyalia Kharote,not out,1,1,2,0,0,100.00,T20I # 2717
Afghanistan vs Australia,Australia,1,Travis Head,out,0,3,2,0,0,0.00,T20I # 2717
Afghanistan vs Australia,Australia,2,David Warner,out,3,8,27,0,0,37.50,T20I # 2717
Afghanistan vs Australia,Australia,3,Mitchell Marsh,out,12,9,9,2,0,133.33,T20I # 2717
Afghanistan vs Australia,Australia,4,Glenn Maxwell,out,59,41,58,6,3,143.90,T20I # 2717
Afghanistan vs Australia,Australia,5,Marcus Stoinis,out,11,17,20,1,0,64.70,T20I # 2717
Afghanistan vs Australia,Australia,6,Tim David,out,2,4,9,0,0,50.00,T20I # 2717
Afghanistan vs Australia,Australia,7,Matthew Wade,out,5,7,16,0,0,71.42,T20I # 2717
Afghanistan vs Australia,Australia,8,Pat Cummins,out,3,9,9,0,0,33.33,T20I # 2717
Afghanistan vs Australia,Australia,9,Ashton Agar,out,2,5,10,0,0,40.00,T20I # 2717
