match,bowlingTeam,bowlerName,O,M,R,W,ECON,0s,4s,6s,WD,NB,match_id
India vs South Africa,South Africa,Marco Jansen,4.0,0,49,1.0,12.25,4,5,2,1,1,T20I # 2729
India vs South Africa,South Africa,Keshav Maharaj,3.0,0,23,2.0,7.66,10,3,1,0,0,T20I # 2729
India vs South Africa,South Africa,Kagiso Rabada,4.0,0,36,1.0,9.0,8,2,2,2,0,T20I # 2729
India vs South Africa,South Africa,Aiden Markram,2.0,0,16,,8.0,1,0,1,0,0,T20I # 2729
India vs South Africa,South Africa,Anrich Nortje,4.0,0,26,2.0,6.5,7,2,0,2,0,T20I # 2729
India vs South Africa,South Africa,Tabraiz Shamsi,3.0,0,26,,8.66,4,1,1,1,0,T20I # 2729
India vs South Africa,India,Arshdeep Singh,4.0,0,20,2.0,5.0,12,2,0,0,0,T20I # 2729
India vs South Africa,India,Jasprit Bumrah,4.0,0,18,2.0,4.5,14,2,0,0,0,T20I # 2729
India vs South Africa,India,Axar Patel,4.0,0,49,1.0,12.25,8,5,3,2,0,T20I # 2729
India vs South Africa,India,Kuldeep Yadav,4.0,0,45,,11.25,6,3,3,0,0,T20I # 2729
India vs South Africa,India,Hardik Pandya,3.0,0,20,3.0,6.66,9,1,1,1,1,T20I # 2729
India vs South Africa,India,Ravindra Jadeja,1.0,0,12,,12.0,0,0,1,0,0,T20I # 2729
Afghanistan vs South Africa,South Africa,Marco Jansen,3.0,0,16,3.0,5.33,13,2,0,4,0,T20I # 2723
Afghanistan vs South Africa,South Africa,Keshav Maharaj,1.0,0,6,,6.0,3,1,0,0,0,T20I # 2723
Afghanistan vs South Africa,South Africa,Kagiso Rabada,3.0,1,14,2.0,4.66,13,3,0,0,0,T20I # 2723
Afghanistan vs South Africa,South Africa,Anrich Nortje,3.0,0,7,2.0,2.33,14,0,0,1,0,T20I # 2723
Afghanistan vs South Africa,South Africa,Tabraiz Shamsi,1.5,0,6,3.0,3.27,9,1,0,1,0,T20I # 2723
Afghanistan vs South Africa,Afghanistan,Naveen-ul-Haq,3.0,0,15,,5.0,12,2,0,1,0,T20I # 2723
Afghanistan vs South Africa,Afghanistan,Fazalhaq Farooqi,2.0,0,11,1.0,5.5,9,2,0,1,0,T20I # 2723
Afghanistan vs South Africa,Afghanistan,Rashid Khan,1.0,0,8,,8.0,2,1,0,0,0,T20I # 2723
Afghanistan vs South Africa,Afghanistan,Azmatullah Omarzai,1.5,0,18,,9.81,6,2,1,0,1,T20I # 2723
Afghanistan vs South Africa,Afghanistan,Gulbadin Naib,1.0,0,8,,8.0,2,1,0,0,0,T20I # 2723
Afghanistan vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4.0,0,36,,9.0,9,1,2,1,0,T20I # 2722
Afghanistan vs Bangladesh,Bangladesh,Taskin Ahmed,4.0,1,12,1.0,3.0,19,0,1,0,0,T20I # 2722
Afghanistan vs Bangladesh,Bangladesh,Shakib Al Hasan,4.0,0,19,,4.75,11,0,1,0,0,T20I # 2722
Afghanistan vs Bangladesh,Bangladesh,Mustafizur Rahman,4.0,0,17,1.0,4.25,14,2,0,0,0,T20I # 2722
Afghanistan vs Bangladesh,Bangladesh,Rishad Hossain,4.0,0,26,3.0,6.5,13,3,0,1,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Naveen-ul-Haq,3.5,0,26,4.0,6.78,12,3,1,0,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Fazalhaq Farooqi,2.0,0,15,1.0,7.5,3,1,0,2,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Mohammad Nabi,2.0,0,15,,7.5,5,2,0,0,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Rashid Khan,4.0,0,23,4.0,5.75,9,2,0,1,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Noor Ahmad,4.0,0,13,,3.25,18,2,0,0,0,T20I # 2722
Afghanistan vs Bangladesh,Afghanistan,Gulbadin Naib,2.0,0,5,1.0,2.5,7,0,0,0,0,T20I # 2722
India vs Bangladesh,Bangladesh,Mahedi Hasan,4.0,0,28,,7.0,9,2,1,0,0,T20I # 2716
India vs Bangladesh,Bangladesh,Shakib Al Hasan,3.0,0,37,1.0,12.33,5,2,3,1,0,T20I # 2716
India vs Bangladesh,Bangladesh,Tanzim Hasan Sakib,4.0,0,32,2.0,8.0,11,1,3,1,0,T20I # 2716
India vs Bangladesh,Bangladesh,Mustafizur Rahman,4.0,0,48,,12.0,6,5,2,1,1,T20I # 2716
India vs Bangladesh,Bangladesh,Rishad Hossain,3.0,0,43,2.0,14.33,4,2,4,2,0,T20I # 2716
India vs Bangladesh,Bangladesh,Mahmudullah,2.0,0,8,,4.0,5,0,0,1,0,T20I # 2716
India vs Bangladesh,India,Arshdeep Singh,4.0,0,30,2.0,7.5,12,4,1,1,0,T20I # 2716
India vs Bangladesh,India,Jasprit Bumrah,4.0,0,13,2.0,3.25,15,1,0,0,0,T20I # 2716
India vs Bangladesh,India,Axar Patel,2.0,0,26,,13.0,2,2,2,0,0,T20I # 2716
India vs Bangladesh,India,Hardik Pandya,3.0,0,32,1.0,10.66,6,1,3,2,0,T20I # 2716
India vs Bangladesh,India,Ravindra Jadeja,3.0,0,24,,8.0,5,2,1,0,0,T20I # 2716
